course_title,tags
Ultimate Investment Banking Course,"['PaidCourse', 'PriceVeryHigh', 'AllLevels', 'DurationVeryLow', 'BusinessFinance', 'Ultimate', 'Investment', 'Banking', 'Course']"
Complete GST Course & Certification - Grow Your CA Practice,"['PaidCourse', 'PriceLow', 'AllLevels', 'DurationMedium', 'BusinessFinance', 'Complete', 'GST', 'Course', '&', 'Certification', '-', 'Grow', 'Your', 'CA', 'Practice']"
Financial Modeling for Business Analysts and Consultants,"['PaidCourse', 'PriceVeryLow', 'IntermediateLevel', 'DurationVeryLow', 'BusinessFinance', 'Financial', 'Modeling', 'for', 'Business', 'Analysts', 'and', 'Consultants']"
Beginner to Pro - Financial Analysis in Excel 2017,"['PaidCourse', 'PriceLow', 'AllLevels', 'DurationVeryLow', 'BusinessFinance', 'Beginner', 'to', 'Pro', '-', 'Financial', 'Analysis', 'in', 'Excel', '2017']"
How To Maximize Your Profits Trading Options,"['PaidCourse', 'PriceVeryHigh', 'IntermediateLevel', 'DurationVeryLow', 'BusinessFinance', 'How', 'To', 'Maximize', 'Your', 'Profits', 'Trading', 'Options']"
Trading Penny Stocks: A Guide for All Levels In 2017,"['PaidCourse', 'PriceHigh', 'AllLevels', 'DurationVeryLow', 'BusinessFinance', 'Trading', 'Penny', 'Stocks:', 'A', 'Guide', 'for', 'All', 'Levels', 'In', '2017']"
Investing And Trading For Beginners: Mastering Price Charts,"['PaidCourse', 'PriceLow', 'BeginnerLevel', 'DurationVeryLow', 'BusinessFinance', 'Investing', 'And', 'Trading', 'For', 'Beginners:', 'Mastering', 'Price', 'Charts']"
"Trading Stock Chart Patterns For Immediate, Explosive Gains","['PaidCourse', 'PriceLow', 'AllLevels', 'DurationVeryLow', 'BusinessFinance', 'Trading', 'Stock', 'Chart', 'Patterns', 'For', 'Immediate,', 'Explosive', 'Gains']"
Options Trading 3 : Advanced Stock Profit and Success Method,"['PaidCourse', 'PriceVeryHigh', 'ExpertLevel', 'DurationVeryLow', 'BusinessFinance', 'Options', 'Trading', '3', ':', 'Advanced', 'Stock', 'Profit', 'and', 'Success', 'Method']"
The Only Investment Strategy You Need For Your Retirement,"['PaidCourse', 'PriceVeryHigh', 'AllLevels', 'DurationVeryLow', 'BusinessFinance', 'The', 'Only', 'Investment', 'Strategy', 'You', 'Need', 'For', 'Your', 'Retirement']"
